"scalerank","featurecla","labelrank","sovereignt","sov_a3","adm0_dif","level","type","admin","adm0_a3","geou_dif","geounit","gu_a3","su_dif","subunit","su_a3","brk_diff","name","name_long","brk_a3","brk_name","brk_group","abbrev","postal","formal_en","formal_fr","note_adm0","note_brk","name_sort","name_alt","mapcolor7","mapcolor8","mapcolor9","mapcolor13","pop_est","gdp_md_est","pop_year","lastcensus","gdp_year","economy","income_grp","wikipedia","fips_10","iso_a2","iso_a3","iso_n3","un_a3","wb_a2","wb_a3","woe_id","adm0_a3_is","adm0_a3_us","adm0_a3_un","adm0_a3_wb","continent","region_un","subregion","region_wb","name_len","long_len","abbrev_len","tiny","homepart"
1,"Admin-0 country",4,"Austria","AUT",0,2,"Sovereign country","Austria","AUT",0,"Austria","AUT",0,"Austria","AUT",0,"Austria","Austria","AUT","Austria",NA,"Aust.","A","Republic of Austria",NA,NA,NA,"Austria",NA,3,1,3,4,8210281,329500,-99,2011,-99,"2. Developed region: nonG7","1. High income: OECD",-99,NA,"AT","AUT","040","040","AT","AUT",-99,"AUT","AUT",-99,-99,"Europe","Europe","Western Europe","Europe & Central Asia",7,7,5,-99,1
1,"Admin-0 country",5,"Azerbaijan","AZE",0,2,"Sovereign country","Azerbaijan","AZE",0,"Azerbaijan","AZE",0,"Azerbaijan","AZE",0,"Azerbaijan","Azerbaijan","AZE","Azerbaijan",NA,"Aze.","AZ","Republic of Azerbaijan",NA,NA,NA,"Azerbaijan",NA,1,6,5,8,8238672,77610,-99,2009,-99,"6. Developing region","3. Upper middle income",-99,NA,"AZ","AZE","031","031","AZ","AZE",-99,"AZE","AZE",-99,-99,"Asia","Asia","Western Asia","Europe & Central Asia",10,10,4,-99,1
1,"Admin-0 country",6,"Burundi","BDI",0,2,"Sovereign country","Burundi","BDI",0,"Burundi","BDI",0,"Burundi","BDI",0,"Burundi","Burundi","BDI","Burundi",NA,"Bur.","BI","Republic of Burundi",NA,NA,NA,"Burundi",NA,2,2,5,8,8988091,3102,-99,2008,-99,"7. Least developed region","5. Low income",-99,NA,"BI","BDI","108","108","BI","BDI",-99,"BDI","BDI",-99,-99,"Africa","Africa","Eastern Africa","Sub-Saharan Africa",7,7,4,-99,1
1,"Admin-0 country",2,"Belgium","BEL",0,2,"Sovereign country","Belgium","BEL",0,"Belgium","BEL",0,"Belgium","BEL",0,"Belgium","Belgium","BEL","Belgium",NA,"Belg.","B","Kingdom of Belgium",NA,NA,NA,"Belgium",NA,3,2,1,8,10414336,389300,-99,2011,-99,"2. Developed region: nonG7","1. High income: OECD",-99,NA,"BE","BEL","056","056","BE","BEL",-99,"BEL","BEL",-99,-99,"Europe","Europe","Western Europe","Europe & Central Asia",7,7,5,-99,1
1,"Admin-0 country",5,"Benin","BEN",0,2,"Sovereign country","Benin","BEN",0,"Benin","BEN",0,"Benin","BEN",0,"Benin","Benin","BEN","Benin",NA,"Benin","BJ","Republic of Benin",NA,NA,NA,"Benin",NA,1,2,2,12,8791832,12830,-99,2002,-99,"7. Least developed region","5. Low income",-99,NA,"BJ","BEN","204","204","BJ","BEN",-99,"BEN","BEN",-99,-99,"Africa","Africa","Western Africa","Sub-Saharan Africa",5,5,5,-99,1
1,"Admin-0 country",3,"Burkina Faso","BFA",0,2,"Sovereign country","Burkina Faso","BFA",0,"Burkina Faso","BFA",0,"Burkina Faso","BFA",0,"Burkina Faso","Burkina Faso","BFA","Burkina Faso",NA,"B.F.","BF","Burkina Faso",NA,NA,NA,"Burkina Faso",NA,2,1,5,11,15746232,17820,-99,2006,-99,"7. Least developed region","5. Low income",-99,NA,"BF","BFA","854","854","BF","BFA",-99,"BFA","BFA",-99,-99,"Africa","Africa","Western Africa","Sub-Saharan Africa",12,12,4,-99,1
1,"Admin-0 country",3,"Bangladesh","BGD",0,2,"Sovereign country","Bangladesh","BGD",0,"Bangladesh","BGD",0,"Bangladesh","BGD",0,"Bangladesh","Bangladesh","BGD","Bangladesh",NA,"Bang.","BD","People's Republic of Bangladesh",NA,NA,NA,"Bangladesh",NA,3,4,7,7,156050883,224000,-99,2011,-99,"7. Least developed region","5. Low income",-99,NA,"BD","BGD","050","050","BD","BGD",-99,"BGD","BGD",-99,-99,"Asia","Asia","Southern Asia","South Asia",10,10,5,-99,1
1,"Admin-0 country",4,"Bulgaria","BGR",0,2,"Sovereign country","Bulgaria","BGR",0,"Bulgaria","BGR",0,"Bulgaria","BGR",0,"Bulgaria","Bulgaria","BGR","Bulgaria",NA,"Bulg.","BG","Republic of Bulgaria",NA,NA,NA,"Bulgaria",NA,4,5,1,8,7204687,93750,-99,2011,-99,"2. Developed region: nonG7","3. Upper middle income",-99,NA,"BG","BGR","100","100","BG","BGR",-99,"BGR","BGR",-99,-99,"Europe","Europe","Eastern Europe","Europe & Central Asia",8,8,5,-99,1
1,"Admin-0 country",4,"Bahrain","BHR",0,2,"Sovereign country","Bahrain","BHR",0,"Bahrain","BHR",0,"Bahrain","BHR",0,"Bahrain","Bahrain","BHR","Bahrain",NA,"Bahr.","BH","Kingdom of Bahrain",NA,NA,NA,"Bahrain",NA,1,1,1,9,727785,26820,-99,2010,-99,"6. Developing region","2. High income: nonOECD",-99,NA,"BH","BHR","048","048","BH","BHR",-99,"BHR","BHR",-99,-99,"Asia","Asia","Western Asia","Middle East & North Africa",7,7,5,2,1
1,"Admin-0 country",4,"The Bahamas","BHS",0,2,"Sovereign country","The Bahamas","BHS",0,"The Bahamas","BHS",0,"The Bahamas","BHS",0,"Bahamas","Bahamas","BHS","Bahamas",NA,"Bhs.","BS","Commonwealth of the Bahamas",NA,NA,NA,"Bahamas, The",NA,1,1,2,5,309156,9093,-99,2010,-99,"6. Developing region","2. High income: nonOECD",-99,NA,"BS","BHS","044","044","BS","BHS",-99,"BHS","BHS",-99,-99,"North America","Americas","Caribbean","Latin America & Caribbean",7,7,4,-99,1
1,"Admin-0 country",5,"Bosnia and Herzegovina","BIH",0,2,"Sovereign country","Bosnia and Herzegovina","BIH",0,"Bosnia and Herzegovina","BIH",0,"Bosnia and Herzegovina","BIH",0,"Bosnia and Herz.","Bosnia and Herzegovina","BIH","Bosnia and Herz.",NA,"B.H.","BiH","Bosnia and Herzegovina",NA,NA,NA,"Bosnia and Herzegovina",NA,1,1,1,2,4613414,29700,-99,1991,-99,"6. Developing region","3. Upper middle income",-99,NA,"BA","BIH","070","070","BA","BIH",-99,"BIH","BIH",-99,-99,"Europe","Europe","Southern Europe","Europe & Central Asia",16,22,4,-99,1
3,"Admin-0 country",6,"France","FR1",1,2,"Dependency","Saint Barthelemy","BLM",0,"Saint Barthelemy","BLM",0,"Saint Barthelemy","BLM",0,"St-Barthélemy","Saint-Barthélemy","BLM","St-Barthélemy",NA,"St. B.","BL","Saint-Barthélemy",NA,"Fr.",NA,"St-Barthélemy",NA,7,5,9,11,7448,255,-99,-99,-99,"2. Developed region: nonG7","1. High income: OECD",-99,NA,"BL","BLM","652","652","-99","-99",-99,"BLM","BLM",-99,-99,"North America","Americas","Caribbean","Latin America & Caribbean",13,16,6,4,-99
1,"Admin-0 country",4,"Belarus","BLR",0,2,"Sovereign country","Belarus","BLR",0,"Belarus","BLR",0,"Belarus","BLR",0,"Belarus","Belarus","BLR","Belarus",NA,"Bela.","BY","Republic of Belarus",NA,NA,NA,"Belarus",NA,1,1,5,11,9648533,114100,-99,2009,-99,"6. Developing region","3. Upper middle income",-99,NA,"BY","BLR","112","112","BY","BLR",-99,"BLR","BLR",-99,-99,"Europe","Europe","Eastern Europe","Europe & Central Asia",7,7,5,-99,1
1,"Admin-0 country",6,"Belize","BLZ",0,2,"Sovereign country","Belize","BLZ",0,"Belize","BLZ",0,"Belize","BLZ",0,"Belize","Belize","BLZ","Belize",NA,"Belize","BZ","Belize",NA,NA,NA,"Belize",NA,1,4,5,7,307899,2536,-99,2010,-99,"6. Developing region","4. Lower middle income",-99,NA,"BZ","BLZ","084","084","BZ","BLZ",-99,"BLZ","BLZ",-99,-99,"North America","Americas","Central America","Latin America & Caribbean",6,6,6,-99,1
3,"Admin-0 country",6,"United Kingdom","GB1",1,2,"Dependency","Bermuda","BMU",0,"Bermuda","BMU",0,"Bermuda","BMU",0,"Bermuda","Bermuda","BMU","Bermuda",NA,"Berm.","BM","The Bermudas or Somers Isles",NA,"U.K.",NA,"Bermuda",NA,6,6,6,3,67837,4500,-99,2010,-99,"2. Developed region: nonG7","2. High income: nonOECD",-99,NA,"BM","BMU","060","060","BM","BMU",-99,"BMU","BMU",-99,-99,"North America","Americas","Northern America","North America",7,7,5,4,-99
1,"Admin-0 country",3,"Bolivia","BOL",0,2,"Sovereign country","Bolivia","BOL",0,"Bolivia","BOL",0,"Bolivia","BOL",0,"Bolivia","Bolivia","BOL","Bolivia",NA,"Bolivia","BO","Plurinational State of Bolivia",NA,NA,NA,"Bolivia",NA,1,5,2,3,9775246,43270,-99,2001,-99,"5. Emerging region: G20","4. Lower middle income",-99,NA,"BO","BOL","068","068","BO","BOL",-99,"BOL","BOL",-99,-99,"South America","Americas","South America","Latin America & Caribbean",7,7,7,-99,1
1,"Admin-0 country",2,"Brazil","BRA",0,2,"Sovereign country","Brazil","BRA",0,"Brazil","BRA",0,"Brazil","BRA",0,"Brazil","Brazil","BRA","Brazil",NA,"Brazil","BR","Federative Republic of Brazil",NA,NA,NA,"Brazil",NA,5,6,5,7,198739269,1993000,-99,2010,-99,"3. Emerging region: BRIC","3. Upper middle income",-99,NA,"BR","BRA","076","076","BR","BRA",-99,"BRA","BRA",-99,-99,"South America","Americas","South America","Latin America & Caribbean",6,6,6,-99,1
1,"Admin-0 country",5,"Barbados","BRB",0,2,"Sovereign country","Barbados","BRB",0,"Barbados","BRB",0,"Barbados","BRB",0,"Barbados","Barbados","BRB","Barbados",NA,"Barb.","BB","Barbados",NA,NA,NA,"Barbados",NA,4,1,5,3,284589,5425,-99,2010,-99,"6. Developing region","2. High income: nonOECD",-99,NA,"BB","BRB","052","052","BB","BRB",-99,"BRB","BRB",-99,-99,"North America","Americas","Caribbean","Latin America & Caribbean",8,8,5,3,1
1,"Admin-0 country",6,"Brunei","BRN",0,2,"Sovereign country","Brunei","BRN",0,"Brunei","BRN",0,"Brunei","BRN",0,"Brunei","Brunei Darussalam","BRN","Brunei",NA,"Brunei","BN","Negara Brunei Darussalam",NA,NA,NA,"Brunei",NA,4,6,6,12,388190,20250,-99,2001,-99,"6. Developing region","2. High income: nonOECD",-99,NA,"BN","BRN","096","096","BN","BRN",-99,"BRN","BRN",-99,-99,"Asia","Asia","South-Eastern Asia","East Asia & Pacific",6,17,6,2,1
1,"Admin-0 country",5,"Bhutan","BTN",0,2,"Sovereign country","Bhutan","BTN",0,"Bhutan","BTN",0,"Bhutan","BTN",0,"Bhutan","Bhutan","BTN","Bhutan",NA,"Bhutan","BT","Kingdom of Bhutan",NA,NA,NA,"Bhutan",NA,5,6,1,8,691141,3524,-99,2005,-99,"7. Least developed region","4. Lower middle income",-99,NA,"BT","BTN","064","064","BT","BTN",-99,"BTN","BTN",-99,-99,"Asia","Asia","Southern Asia","South Asia",6,6,6,-99,1
1,"Admin-0 country",4,"Botswana","BWA",0,2,"Sovereign country","Botswana","BWA",0,"Botswana","BWA",0,"Botswana","BWA",0,"Botswana","Botswana","BWA","Botswana",NA,"Bwa.","BW","Republic of Botswana",NA,NA,NA,"Botswana",NA,6,5,7,3,1990876,27060,-99,2011,-99,"6. Developing region","3. Upper middle income",-99,NA,"BW","BWA","072","072","BW","BWA",-99,"BWA","BWA",-99,-99,"Africa","Africa","Southern Africa","Sub-Saharan Africa",8,8,4,-99,1
1,"Admin-0 country",4,"Central African Republic","CAF",0,2,"Sovereign country","Central African Republic","CAF",0,"Central African Republic","CAF",0,"Central African Republic","CAF",0,"Central African Rep.","Central African Republic","CAF","Central African Rep.",NA,"C.A.R.","CF","Central African Republic",NA,NA,NA,"Central African Republic",NA,5,6,6,9,4511488,3198,-99,2003,-99,"7. Least developed region","5. Low income",-99,NA,"CF","CAF","140","140","CF","CAF",-99,"CAF","CAF",-99,-99,"Africa","Africa","Middle Africa","Sub-Saharan Africa",20,24,6,-99,1
1,"Admin-0 country",2,"Canada","CAN",0,2,"Sovereign country","Canada","CAN",0,"Canada","CAN",0,"Canada","CAN",0,"Canada","Canada","CAN","Canada",NA,"Can.","CA","Canada",NA,NA,NA,"Canada",NA,6,6,2,2,33487208,1300000,-99,2011,-99,"1. Developed region: G7","1. High income: OECD",-99,NA,"CA","CAN","124","124","CA","CAN",-99,"CAN","CAN",-99,-99,"North America","Americas","Northern America","North America",6,6,4,-99,1
1,"Admin-0 country",4,"Switzerland","CHE",0,2,"Sovereign country","Switzerland","CHE",0,"Switzerland","CHE",0,"Switzerland","CHE",0,"Switzerland","Switzerland","CHE","Switzerland",NA,"Switz.","CH","Swiss Confederation",NA,NA,NA,"Switzerland",NA,5,2,7,3,7604467,316700,-99,2010,-99,"2. Developed region: nonG7","1. High income: OECD",-99,NA,"CH","CHE","756","756","CH","CHE",-99,"CHE","CHE",-99,-99,"Europe","Europe","Western Europe","Europe & Central Asia",11,11,6,-99,1
1,"Admin-0 country",2,"Chile","CHL",0,2,"Sovereign country","Chile","CHL",0,"Chile","CHL",0,"Chile","CHL",0,"Chile","Chile","CHL","Chile",NA,"Chile","CL","Republic of Chile",NA,NA,NA,"Chile",NA,5,1,5,9,16601707,244500,-99,2002,-99,"5. Emerging region: G20","3. Upper middle income",-99,NA,"CL","CHL","152","152","CL","CHL",-99,"CHL","CHL",-99,-99,"South America","Americas","South America","Latin America & Caribbean",5,5,5,-99,1
1,"Admin-0 country",2,"China","CH1",1,2,"Country","China","CHN",0,"China","CHN",0,"China","CHN",0,"China","China","CHN","China",NA,"China","CN","People's Republic of China",NA,NA,NA,"China",NA,4,4,4,3,1338612970,7973000,-99,2010,-99,"3. Emerging region: BRIC","3. Upper middle income",-99,NA,"CN","CHN","156","156","CN","CHN",-99,"CHN","CHN",-99,-99,"Asia","Asia","Eastern Asia","East Asia & Pacific",5,5,5,-99,1
1,"Admin-0 country",3,"Ivory Coast","CIV",0,2,"Sovereign country","Ivory Coast","CIV",0,"Ivory Coast","CIV",0,"Ivory Coast","CIV",0,"Côte d'Ivoire","Côte d'Ivoire","CIV","Côte d'Ivoire",NA,"I.C.","CI","Republic of Ivory Coast","Republic of Cote D'Ivoire",NA,NA,"Côte d'Ivoire",NA,4,6,3,3,20617068,33850,-99,1998,-99,"6. Developing region","4. Lower middle income",-99,NA,"CI","CIV","384","384","CI","CIV",-99,"CIV","CIV",-99,-99,"Africa","Africa","Western Africa","Sub-Saharan Africa",13,13,4,-99,1
1,"Admin-0 country",3,"Cameroon","CMR",0,2,"Sovereign country","Cameroon","CMR",0,"Cameroon","CMR",0,"Cameroon","CMR",0,"Cameroon","Cameroon","CMR","Cameroon",NA,"Cam.","CM","Republic of Cameroon",NA,NA,NA,"Cameroon",NA,1,4,1,3,18879301,42750,-99,2005,-99,"6. Developing region","4. Lower middle income",-99,NA,"CM","CMR","120","120","CM","CMR",-99,"CMR","CMR",-99,-99,"Africa","Africa","Middle Africa","Sub-Saharan Africa",8,8,4,-99,1
1,"Admin-0 country",2,"Democratic Republic of the Congo","COD",0,2,"Sovereign country","Democratic Republic of the Congo","COD",0,"Democratic Republic of the Congo","COD",0,"Democratic Republic of the Congo","COD",0,"Dem. Rep. Congo","Democratic Republic of the Congo","COD","Democratic Republic of the Congo",NA,"D.R.C.","DRC","Democratic Republic of the Congo",NA,NA,NA,"Congo, Dem. Rep.",NA,4,4,4,7,68692542,20640,-99,1984,-99,"7. Least developed region","5. Low income",-99,NA,"CD","COD","180","180","ZR","ZAR",-99,"COD","COD",-99,-99,"Africa","Africa","Middle Africa","Sub-Saharan Africa",15,32,6,-99,1
1,"Admin-0 country",4,"Republic of Congo","COG",0,2,"Sovereign country","Republic of Congo","COG",0,"Republic of Congo","COG",0,"Republic of Congo","COG",0,"Congo","Republic of Congo","COG","Republic of Congo",NA,"Rep. Congo","CG","Republic of Congo",NA,NA,NA,"Congo, Rep.",NA,2,1,3,10,4012809,15350,-99,2007,-99,"6. Developing region","4. Lower middle income",-99,NA,"CG","COG","178","178","CG","COG",-99,"COG","COG",-99,-99,"Africa","Africa","Middle Africa","Sub-Saharan Africa",5,17,10,-99,1
3,"Admin-0 country",4,"New Zealand","NZ1",1,2,"Dependency","Cook Islands","COK",0,"Cook Islands","COK",0,"Cook Islands","COK",0,"Cook Is.","Cook Islands","COK","Cook Is.",NA,"Cook Is.","CK",NA,NA,"Assoc. with N.Z.",NA,"Cook Islands",NA,3,3,4,4,11870,183.2,-99,-99,-99,"6. Developing region","3. Upper middle income",-99,NA,"CK","COK","184","184","-99","-99",-99,"COK","COK",-99,-99,"Oceania","Oceania","Polynesia","East Asia & Pacific",8,12,8,3,-99
1,"Admin-0 country",2,"Colombia","COL",0,2,"Sovereign country","Colombia","COL",0,"Colombia","COL",0,"Colombia","COL",0,"Colombia","Colombia","COL","Colombia",NA,"Col.","CO","Republic of Colombia",NA,NA,NA,"Colombia",NA,2,1,3,1,45644023,395400,-99,2006,-99,"6. Developing region","3. Upper middle income",-99,NA,"CO","COL","170","170","CO","COL",-99,"COL","COL",-99,-99,"South America","Americas","South America","Latin America & Caribbean",8,8,4,-99,1
1,"Admin-0 country",6,"Comoros","COM",0,2,"Sovereign country","Comoros","COM",0,"Comoros","COM",0,"Comoros","COM",0,"Comoros","Comoros","COM","Comoros",NA,"Com.","KM","Union of the Comoros",NA,NA,NA,"Comoros",NA,2,1,4,10,752438,751.2,-99,2003,-99,"7. Least developed region","5. Low income",-99,NA,"KM","COM","174","174","KM","COM",-99,"COM","COM",-99,-99,"Africa","Africa","Eastern Africa","Sub-Saharan Africa",7,7,4,2,1
1,"Admin-0 country",4,"Cape Verde","CPV",0,2,"Sovereign country","Cape Verde","CPV",0,"Cape Verde","CPV",0,"Cape Verde","CPV",0,"Cape Verde","Cape Verde","CPV","Cape Verde",NA,"C.Vd.","CV","Republic of Cape Verde",NA,NA,NA,"Cape Verde",NA,1,1,4,11,429474,1626,-99,2010,-99,"6. Developing region","4. Lower middle income",-99,NA,"CV","CPV","132","132","CV","CPV",-99,"CPV","CPV",-99,-99,"Africa","Africa","Western Africa","Sub-Saharan Africa",10,10,5,-99,1
