"gapminder","maps"
"Lithuania",NA
"Luxembourg","Luxembourg"
"Macedonia [FYROM]","Yogoslavia"
"Madagascar","Madagascar"
NA,"Madeira Islands"
"Malawi","Malawi"
"Malaysia","Malaysia"
NA,"Maldives"
"Maldova",NA
"Mali","Mali"
"Malta","Malta"
NA,"Marshall Islands"
NA,"Martinique"
NA,"Maug Island"
"Mauritania","Mauritania"
"Mauritius","Mauritius"
"Mexico","Mexico"
"Micronesia","Micronesia"
NA,"Monaco"
"Mongolia","Mongolia"
NA,"Montserrat"
"Morocco","Morocco"
"Mozambique","Mozambique"
"Myanmar [Burma]","Myanmar"
"Namibia","Namibia"
"Nauru","Nauru"
"Nepal","Nepal"
"Netherlands","Netherlands"
NA,"Neutral Zone"
NA,"Nevis"
NA,"New Caledonia"
"New Zealand","New Zealand"
"Nicaragua","Nicaragua"
"Niger","Niger"
"Nigeria","Nigeria"
"Niue",NA
"North Korea","North Korea"
NA,"Northern Mariana Islands"
"Norway","Norway"
"Oman","Oman"
"Pakistan","Pakistan"
"Panama","Panama"
"Palau",NA
"Papua New Guinea","Papua New Guinea"
NA,"Paracel Islands"
"Paraguay","Paraguay"
"Peru","Peru"
"Philippines","Philippines"
NA,"Pitcairn Islands"
"Poland","Poland"
"Portugal","Portugal"
"Puerto Rico","Puerto Rico"
"Qatar","Qatar"
"Romania","Romania"
"Rwanda","Rwanda"
NA,"Saint Eustatius"
"Saint Kitts and Nevis","Saint Kitts"
"Saint Lucia","Saint Lucia"
"Saint Vincent and the Grenadines","Saint Vincent"
NA,"Saint-Barthelemy"
NA,"Saint-Martin"
"San Marino","San Marino"
"São Tomé and Príncipe","Sao Tome and Principe"
NA,"Sardinia"
"Saudi Arabia","Saudi Arabia"
"Senegal","Senegal"
"Serbia","Yugoslavia"
"Seychelles","Seychelles"
NA,"Sicily"
"Sierra Leone","Sierra Leone"
NA,"Sin Cowe Island"
"Singapore",NA
"Slovakia","Czechoslovakia"
"Slovenia","Yugoslavia"
"Solomon Islands","Solomon Islands"
"Somalia","Somalia"
NA,"Sonsorol Island"
"South Africa","South Africa"
"South Korea","South Korea"
NA,"South Sandwich Islands"
"Spain","Spain"
NA,"Spratly Island"
"Sri Lanka","Sri Lanka"
"Sudan","Sudan"
"Suriname","Suriname"
"Swaziland","Swaziland"
"Sweden","Sweden"
"Switzerland","Switzerland"
"Syria","Syria"
"Tajikistan",NA
"Tanzania","Tanzania"
"Thailand","Thailand"
"Timor-Leste",NA
"Trinidad and Tobago","Tobago"
"Togo","Togo"
NA,"Tokelau"
"Tonga","Tonga"
"Trinidad and Tobago","Trinidad"
"Tunisia","Tunisia"
"Turkey","Turkey"
"Turkmenistan",NA
NA,"Turks and Caicos"
"Tuvalu","Tuvalu"
"Uganda","Uganda"
"United Kingdom","UK"
"Ukraine",NA
"United Arab Emirates","United Arab Emirates"
"Uruguay","Uruguay"
"United States","USA"
"United States of America","USA"
"Uzbekistan",NA
"Russia","USSR"
"Vanuatu","Vanuatu"
"Venezuela","Venezuela"
"Vietnam","Vietnam"
NA,"Virgin Islands"
NA,"Vislinskiy Zaliv"
"United Kingdom","Wales"
"West Bank","West Bank"
NA,"Western Sahara"
"Yemen","Yemen"
NA,"Zaire"
"Zambia","Zambia"
"Zimbabwe","Zimbabwe"
