"","country","year","alcohol"
"4524","Uganda",2008,16.4
"4525","Ukraine",2008,17.47
"4526","United Arab Emirates",2008,0.52
"4527","United Kingdom",2008,13.24
"4528","United States",2008,9.7
"4529","Uruguay",2008,8.99
"4530","Uzbekistan",2008,3.61
"4531","Vanuatu",2008,0.96
"4532","Venezuela",2008,7.6
"4533","Vietnam",2008,3.91
"4534","Yemen",2008,0.2
"4535","Zambia",2008,3.56
"4536","Zimbabwe",2008,4.96
